AÑO_DATOS,ESFUERZO,AÑO_PONDERACION
2017,0.232249104178437,2018
2018,0.230477915190917,2019
2019,0.242879842700693,2020
2020,0.291794968708758,2021
2021,0.286624288113289,2022
2022,0.271591759404743,2023
2023,0.270230251978327,2024
2024,0.246936034093561,2025
