CCAA,nombre,AÑO_DATOS,AÑO_PONDERACION,ESFUERZO
17,"Rioja, La",2018,2019,0.19406
17,"Rioja, La",2019,2020,0.19752
17,"Rioja, La",2020,2021,0.22071
17,"Rioja, La",2021,2022,0.21285
17,"Rioja, La",2022,2023,0.16038
17,"Rioja, La",2023,2024,0.17007
17,"Rioja, La",2024,2025,0.18371
18,Ceuta,2017,2018,0.12473
18,Ceuta,2018,2019,0.27134
18,Ceuta,2019,2020,0.14648
18,Ceuta,2020,2021,0.29473
18,Ceuta,2021,2022,0.10773
18,Ceuta,2022,2023,0.22918
18,Ceuta,2023,2024,0.14573
18,Ceuta,2024,2025,0.23118
19,Melilla,2017,2018,0.15788
19,Melilla,2018,2019,0.10065
19,Melilla,2019,2020,0.14439
19,Melilla,2020,2021,0.0997
19,Melilla,2021,2022,0.1573
19,Melilla,2022,2023,0.19403
19,Melilla,2023,2024,0.18761
19,Melilla,2024,2025,0.20066
